Name,Add,Px,Py,Changetime,Picture1
打狗英國領事館文化園區,高雄市804鼓山區蓮海路20號,120.26684,22.61891,,
逍遙園,高雄市800新興區六合一路55巷15號錦田路,120.31007,22.63167,2022/11/28 17:49:17,https://khh.travel/content/images/Attractions/37307/640x480_attractions-image-xli2a8y_suiqghttdtojsw.jpg
興達港(情人碼頭),高雄市852茄萣區崎洛里大發路88號,120.19391,22.86843,2022/11/28 17:49:14,https://khh.travel/content/images/Attractions/20116/640x480_attractions-image--xlzj8hvjuot8tbda9d7eq.jpg
內門紫竹寺,高雄市845內門區中正路115巷18號,120.45503,22.91718,2022/11/28 17:49:12,https://khh.travel/content/images/Attractions/37247/640x480_attractions-image-lw1ozhbzsumvispd741hxw.jpg
南寮海岸光廊(彌陀漁港海岸光廊),高雄市827彌陀區南寮路96號,120.23429,22.76099,2022/11/28 17:49:10,https://khh.travel/content/images/Attractions/37299/640x480_attractions-image-szuxzjziqeotecmpezfpxg.jpg
大崗山風景區,高雄市822阿蓮區復安路,120.34497,22.85971,2022/11/28 17:49:09,https://khh.travel/content/images/Attractions/37239/640x480_attractions-image-huayxgtjzuwdb8v2dvyfjw.jpg
觀音山風景區,高雄市815大社區翠屏路,120.37175,22.72964,2022/11/28 17:49:07,https://khh.travel/content/images/Attractions/37378/640x480_attractions-image-aysoy4x0feuv2nhf4xb5la.jpg
林園安樂樓,高雄市832林園區林園北路91號,120.39512,22.50565,2022/11/28 17:49:05,https://khh.travel/content/images/Attractions/37271/640x480_attractions-image-zvunzybezuejvsm2_wdgfg.jpg
林園海洋濕地公園,高雄市832林園區半廓路,120.38572,22.49176,2022/11/28 17:49:02,https://khh.travel/content/images/Attractions/37283/640x480_attractions-image-9v0nejjs1uy6xrlie3mfuq.jpg
清水巖風景區(林園清水寺),高雄市832林園區清水岩路214號,120.39054,22.52344,2022/11/28 17:48:59,https://khh.travel/content/images/Attractions/37599/640x480_attractions-image-1hkkttl77ueappwn8mgxeq.jpg
十八羅漢山風景區,高雄市844六龜區省道台27甲線，位於新威到六龜公路的6個隧道中間。,120.64185,22.95008,2022/11/28 17:48:55,https://khh.travel/content/images/Attractions/20392/640x480_attractions-image-7z39rlszhumfflab0qmkcw.jpg
台灣鳳梨工場,高雄市840大樹區復興街42號,120.42080,22.65771,2022/11/28 17:48:50,https://khh.travel/content/images/Attractions/37258/640x480_attractions-image-bs-ktrruiuug8pviclreow.jpg
舊鐵橋濕地教育園區（大樹舊鐵橋）,高雄市840大樹區竹寮里竹寮路109號,120.42698,22.66231,2022/11/28 17:48:48,https://khh.travel/content/images/Attractions/37575/640x480_attractions-image-jad3dyc62e6etwavps7v4w.jpg
統一夢時代購物中心,高雄市806前鎮區中華五路789號,120.30692,22.59515,2022/11/28 17:48:45,https://khh.travel/content/images/Attractions/37455/640x480_attractions-image-pmckb7mrsega-kk4dzr_sg.jpg
高雄展覽館,高雄市806前鎮區成功二路39號,120.29833,22.60788,2022/11/28 17:48:43,https://khh.travel/content/images/Attractions/37446/640x480_attractions-image-ysimhy_ol0wbgsvwg1w0uq.jpg
果貿社區,高雄市813左營區果峰街3巷,120.28819,22.67015,2022/11/28 17:48:40,https://khh.travel/content/images/Attractions/37559/640x480_attractions-image-tcanyeyg_uqindzv1kb_kq.jpg
橋頭糖廠(台灣糖業博物館),高雄市825橋頭區橋南里糖廠路24號,120.31433,22.75568,2022/11/28 17:48:36,https://khh.travel/content/images/Attractions/19963/640x480_attractions-image-o7sblbmk5eac7otxa8rczq.jpg
旗津豪華露營,高雄市805旗津區旗津三路51號,120.27960,22.59497,2022/11/28 17:48:33,https://khh.travel/content/images/Attractions/37323/640x480_attractions-image-pll3tr4eju2ahv4lu0yyvw.jpg
哈瑪星台灣鐵道館,高雄市804鼓山區蓬萊路99號駁二藝術特區蓬萊B7、B8倉庫,120.27845,22.62083,2022/11/28 17:48:32,https://khh.travel/content/images/Attractions/37385/640x480_attractions-image-fm-gp0puguoyvh5hwmgxha.jpg
HOLO Park映像鹽埕,高雄市804鼓山區高雄港7號碼頭,120.28627,22.61510,2022/11/28 17:48:29,https://khh.travel/content/images/Attractions/37523/640x480_attractions-image-pkoauferz02fjkfqloxmvg.jpg
旗津老街（廟前路）,高雄市805旗津區廟前路,120.26824,22.61266,2022/11/28 17:48:26,https://khh.travel/content/images/Attractions/37550/640x480_attractions-image-vqqh66bbtkqkh69rox6xug.jpg
三塊厝舊站,高雄市807三民區三德西街90巷8號,120.29387,22.63872,2022/11/28 17:48:25,https://khh.travel/content/images/Attractions/1956/640x480_image024_8879.jpg
原日本海軍鳳山無線電信所,高雄市830鳳山區勝利路10巷,120.37508,22.63108,2022/11/28 17:48:23,https://khh.travel/content/images/Attractions/20039/640x480_attractions-image-newfose_qemkjtqeo9uodg.jpg
高雄市立歷史博物館,高雄市803鹽埕區中正四路272號,120.28680,22.62695,2022/11/28 17:48:21,https://khh.travel/content/images/Attractions/22223/640x480_attractions-image-gr30th1haem2xa7z-8qudg.jpg
